企業キー,法人番号,企業名,EDINETコード,証券コード,提出日,対象期間終了日,最新収集アプリver,データ整合性フラグ,分析候補,企業分類推定,総資産,純資産,負債,自己資本比率,営業利益,経常利益,当期利益,営業キャッシュフロー,投資キャッシュフロー,財務キャッシュフロー,現金及び現金同等物,ROE,平均年齢,平均年間給与,平均勤続年数,研究開発費,売上高・営業収益,従業員数,女性管理職比率,男性育休取得率,男女賃金差異_全労働者,男女賃金差異_正規,男女賃金差異_非正規,詳細業種1,詳細業種1信頼度,詳細業種2,詳細業種2信頼度,詳細業種3,詳細業種3信頼度,詳細業種候補,詳細業種根拠キーワード,しょくばらぼ_JOIN,しょくばらぼ_結合方法,しょくばらぼ_取得項目数,しょくばらぼ_企業名,しょくばらぼ_法人番号,しょくばらぼ_証券コード,しょくばらぼ_業種,しょくばらぼ_都道府県,しょくばらぼ_企業規模,しょくばらぼ_市場区分,しょくばらぼ_正社員の有給休暇取得日数_数値,しょくばらぼ_年次有給休暇取得率（全体）-取得率_数値,しょくばらぼ_年次有給休暇取得率（雇用管理区分）-取得率（一覧）_数値,しょくばらぼ_月平均所定外労働時間_数値,しょくばらぼ_対象労働者全体の月平均の法定時間外労働時間と法定休日労働時間の合計-平均残業時間（詳細）_数値,しょくばらぼ_平均の法定時間外労働60時間以上の労働者の数_数値,しょくばらぼ_男女の賃金の差異-全労働者_数値,しょくばらぼ_男女の賃金の差異-うち正規雇用労働者_数値,しょくばらぼ_男女の賃金の差異-うち非正規雇用労働者_数値,しょくばらぼ_正社員の平均継続勤務年数_数値,しょくばらぼ_従業員の平均年齢_数値,しょくばらぼ_管理職に占める女性の割合_数値,しょくばらぼ_役員に占める女性の割合_数値,しょくばらぼ_育児休業取得率（男性）-男性取得率（一覧）_数値,しょくばらぼ_育児休業取得率（女性）-女性取得率（一覧）_数値,しょくばらぼ_テレワーク制度-可否,しょくばらぼ_副業・兼業-可否,しょくばらぼ_多様な正社員制度-制度-職務限定正社員,しょくばらぼ_多様な正社員制度-制度-勤務地限定正社員,しょくばらぼ_多様な正社員制度-制度-短時間正社員,しょくばらぼ_研修制度-有無,しょくばらぼ_メンター制度-有無,しょくばらぼ_自己啓発支援制度-有無,しょくばらぼ_キャリアコンサルティング制度-有無,しょくばらぼ_社内検定制度-有無,しょくばらぼ_インターンシップの受入-可否,しょくばらぼ_職場見学・職場体験の受入-可否,しょくばらぼ_えるぼし認定-認定有無,しょくばらぼ_プラチナえるぼし認定-認定有無,しょくばらぼ_くるみん-認定有無,しょくばらぼ_プラチナくるみん-認定有無,しょくばらぼ_健康経営銘柄-認定有無,女性活躍DB_JOIN,女性活躍DB_結合方法,女性活躍DB_取得項目数,女性活躍DB_企業名,女性活躍DB_法人番号,女性活躍DB_証券コード,女性活躍DB_業種,女性活躍DB_業種(詳細分類),女性活躍DB_都道府県,女性活躍DB_企業規模,女性活躍DB_市場区分,女性活躍DB_5.男女別の育児休業取得率-男性(%)_数値,女性活躍DB_5.男女別の育児休業取得率-女性(%)_数値,女性活躍DB_6.一月当たりの労働者の平均残業時間-平均残業時間(時間)_数値,女性活躍DB_8.(1)年次有給休暇の取得率-対象労働者(%)_数値,女性活躍DB_8.(2)年次有給休暇の取得率(区)-有給休暇取得率(%)_数値,女性活躍DB_10.管理職に占める女性労働者の割合-割合(%)_数値,女性活躍DB_11.役員に占める女性の割合-割合(%)_数値,女性活躍DB_14.男女の賃金の差異1-全労働者(%)_数値,女性活躍DB_14.男女の賃金の差異2-うち正規雇用労働者(%)_数値,女性活躍DB_14.男女の賃金の差異3-うち非正規雇用労働者(%)_数値,女性活躍DB_フレックスタイム制度,女性活躍DB_在宅勤務・テレワーク,女性活躍DB_短時間勤務制度,女性活躍DB_病気・不妊治療休暇,女性活躍DB_年次有給休暇時間単位取得制度,女性活躍DB_データの最終更新日
corporate_number:6290801002202,6.2908E+12,第一交通産業株式会社,E04222,90350,2026/6/26,2026/3/31,0.11.24,,yes,operating_company_candidate,1.93019E+11,46297000000,1.46721E+11,0.24,3580000000,4059000000,2065000000,9000000,30000000,143000000,10588000000,0.046,42.3,5121604,12.3,,1.12482E+11,296,0.074,0.5,0.555,0.608,0.27,不動産/デベロッパー,0.26,自動車,0.16,旅行/レジャー,0.14,不動産/デベロッパー:0.26 | 自動車:0.16 | 旅行/レジャー:0.14,"不動産, 自動車, 介護, 賃貸, 観光, 車両, バス, 分譲",matched,corporate_number,63,第一交通産業株式会社,6.2908E+12,,K:不動産業，物品賃貸業,40:福岡県,312人,,,,,,4.1,,57,62.8,49.4,,,3.8,,66.7,150,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,41,第一交通産業株式会社,6290801002202,9035,不動産業、物品賃貸業,不動産業、物品賃貸業,福岡県,301～500人,本則（福証）,50.0,100.0,3.1,,,7.4,,55.5,60.8,27.0,,,,,,2026年07月03日
corporate_number:6290801006558,6.2908E+12,株式会社スターフライヤー,E26084,92060,2026/6/25,2026/3/31,0.11.24,,yes,operating_company_candidate,36896000000,7222000000,29673000000,0.196,1389000000,684000000,434000000,1559000000,-1509000000,-998000000,9220000000,0.075,38.7,6967000,8.6,,44795000000,806,0.247,1,0.431,0.433,0.286,空運/海運/陸運,0.3,重工/造船/航空,0.13,教育,0.12,空運/海運/陸運:0.30 | 重工/造船/航空:0.13 | 教育:0.12,"航空, 空運, 航空運送, 教育, ブランディング, レジャー, 広告, バス",matched,corporate_number,65,株式会社スターフライヤー,6.2908E+12,,H:運輸業，郵便業,40:福岡県,702人,,,,,,,,43,43.7,27.9,,,28.4,10,100,100,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,company_name,50,株式会社スターフライヤー,6290801006558,,運輸業、郵便業,運輸業、郵便業,福岡県,501～1000人,,100.0,100.0,,,,27.3,16.7,43.1,43.3,28.6,フレックスタイム制度,在宅勤務・テレワーク,短時間勤務制度,,,2026年07月02日
corporate_number:6290801010667,6.2908E+12,株式会社三井ハイテック,E02293,69660,2026/4/17,2026/1/31,0.11.24,,yes,operating_company_candidate,2.40994E+11,1.13614E+11,1.27379E+11,0.47,12651000000,13815000000,3151000000,24135000000,-28773000000,7117000000,52742000000,0.028,38.9,7122727,12.9,471000000,2.18329E+11,2449,0.029,0.6,0.652,0.804,0.606,電子部品,0.22,産業機器,0.13,電気機器,0.13,電子部品:0.22 | 産業機器:0.13 | 電気機器:0.13,"電子部品, 工作機械, 機械, 半導体, モーター, 材料, 自動車, 家電",matched,corporate_number,76,株式会社三井ハイテック,6.2908E+12,,E:製造業,40:福岡県,2363人,,,74.3,74.3,,,,65.2,80.4,60,,,2.9,6.7,60,100,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,company_name,56,株式会社三井ハイテック,6290801010667,,電子部品・デバイス・電子回路・電気機械器具・情報通信機械器具製造業,電子部品・デバイス・電子回路・電気機械器具・情報通信機械器具製造業,福岡県,1001～5000人,,60.0,100.0,,74.3,74.3,2.9,6.7,65.2,80.4,60.0,,,,,,2026年04月21日
corporate_number:6290801012011,6.2908E+12,若築建設株式会社,E00081,18880,2026/6/24,2026/3/31,0.11.24,,yes,operating_company_candidate,1.22423E+11,54759000000,67664000000,0.441,6649000000,6426000000,4367000000,477000000,-1162000000,7086000000,19638000000,0.085,44,8776664,17.8,238000000,1.04748E+11,808,0.006,0.364,0.598,0.666,0.502,建設,0.51,不動産/デベロッパー,0.23,計測/制御,0.08,建設:0.51 | 不動産/デベロッパー:0.23 | 計測/制御:0.08,"建設, 不動産, 施工, 証券, 制御, 土木, 人材, バイオ",matched,corporate_number,75,若築建設株式会社,6.2908E+12,,D:建設業,40:福岡県,768人,,,,,,34.9,,59.8,66.6,50.2,,,0.6,8.3,36.4,133,,,,,,,,,,,,,1:有,0:無,1:有,0:無,0:無,matched,security_code,57,若築建設株式会社,6290801012011,1888,建設業,その他建設業,東京都,501～1000人,プライム（東証）,36.4,133.0,34.9,,,0.6,8.3,59.8,66.6,50.2,,,短時間勤務制度,病気・不妊治療休暇,,2026年04月28日
corporate_number:6300001000905,6.3E+12,松尾建設株式会社,E00144,,2026/6/25,2026/3/31,0.11.24,,yes,operating_company_candidate,75038000000,37565000000,37473672000,0.5006,5160055000,5468000000,3518000000,10865000000,-5394000000,-4151000000,26449000000,0.0988,,7793000,17.9,,73223000000,686,,,,,,建設,0.34,不動産/デベロッパー,0.1,保険,0.1,建設:0.34 | 不動産/デベロッパー:0.10 | 保険:0.10,"建設, 不動産, 建築, 証券, コンサルティング, 保険, 損害保険, 空運",matched,corporate_number,46,松尾建設株式会社,6.3E+12,,D:建設業,41:佐賀県,815人,,,,,,,,50.8,62.5,55.6,,,,,,,,,,,,,,,,,,,0:無,0:無,1:有,0:無,0:無,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:6310001008798,6.31E+12,フェスタリアホールディングス株式会社,E03392,27360,2025/11/26,2025/8/31,0.11.24,,yes,operating_company_candidate,7189331000,1664234000,5525097000,0.226,289453000,284817000,176413000,399989000,-291495000,-137500000,1143341000,0.113,,,,,9403118000,520,,,,,,小売,0.5,証券,0.19,専門商社,0.17,小売:0.50 | 証券:0.19 | 専門商社:0.17,"店舗, 証券, 卸売, 小売, EC, 人材, 教育, 賃貸",matched,corporate_number,76,フェスタリアホールディングス株式会社,6.31E+12,,I:卸売業，小売業,13:東京都,564人,,,,,,3.5,,67.2,68.5,61.9,,,52.5,0,,100,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:6320001000746,6.32E+12,小野建株式会社,E01324,74140,2026/6/25,2026/3/31,0.11.24,,yes,operating_company_candidate,1.96119E+11,93802000000,1.02317E+11,0.473,4740000000,4711000000,-2218000000,10451000000,-9118000000,590000000,6109000000,-0.023,39,5140348,8,,2.53115E+11,994,0.015,0.348,0.61,0.601,0.622,鉄鋼/非鉄,0.32,保険,0.16,不動産/デベロッパー,0.16,鉄鋼/非鉄:0.32 | 保険:0.16 | 不動産/デベロッパー:0.16,"鉄鋼, 証券, 不動産, 保険, 戦略, 建設, 生命保険, 賃貸",matched,corporate_number,55,小野建株式会社,6.32E+12,,I:卸売業，小売業,40:福岡県,1232人,,,,77.3,,,,51.9,50.8,47.5,,,1.5,,18.8,100,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,42,小野建株式会社,6320001000746,7414,卸売業、小売業,その他卸売業、小売業,福岡県,1001～5000人,プライム（東証）,18.8,100.0,,,77.3,1.5,,51.9,50.8,47.5,,,短時間勤務制度,,年次有給休暇時間単位取得制度,2025年11月27日
corporate_number:6320001005316,6.32E+12,株式会社フォレストホールディングス,E21219,,2026/6/29,2026/3/31,0.11.24,,yes,operating_company_candidate,3.13672E+11,1.6044E+11,1.53232E+11,0.497,5882000000,7321000000,8819000000,8444000000,-4157000000,-1360000000,40097000000,0.0593,,6483741,17.7,,5.22401E+11,77,,,,,,医薬品,0.58,光学/精密機器,0.12,証券,0.06,医薬品:0.58 | 光学/精密機器:0.12 | 証券:0.06,"医薬品, 医療用医薬品, 製薬, 医療機器, 証券, クラウド, 不動産, ジェネリック",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:6320201000224,6.3202E+12,株式会社ｃｏｔｔａ,E02982,33590,2025/12/22,2025/9/30,0.11.24,,yes,operating_company_candidate,10287164000,4484754000,5802410000,0.4311,772347000,771840000,437118000,868914000,-2795400000,2436851000,2197724000,0.1017,42.4,5875320,10.7,1080000,13675545000,35,0.4,,,,,食品/飲料,0.23,人材/アウトソーシング,0.21,アパレル/化粧品,0.11,食品/飲料:0.23 | 人材/アウトソーシング:0.21 | アパレル/化粧品:0.11,"人材, 菓子, 美容, 信販, インターネット, 卸売, 証券, 保険",matched,corporate_number,23,株式会社ｃｏｔｔａ,6.3202E+12,,I:卸売業，小売業,44:大分県,121人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,company_name,19,株式会社ｃｏｔｔａ,6320201000224,,卸売業、小売業,その他卸売業、小売業,大分県,101～300人,,,,,,,,,,,,,,,,,
corporate_number:6350001001824,6.35E+12,株式会社 宮崎太陽銀行,E03669,85600,2026/6/22,2026/3/31,0.11.24,,yes,operating_company_candidate,8.3227E+11,47667000000,7.84603E+11,0.0552,,2590000000,1480000000,7635000000,-5461000000,-873000000,76363000000,0.0322,37.4,5426000,15.2,,18046000000,558,0.034,0.35,0.524,0.576,0.502,銀行,0.43,リース/信販,0.32,証券,0.17,銀行:0.43 | リース/信販:0.32 | 証券:0.17,"リース, 銀行, 証券, 貸出, 店舗, 預金, 保険, 不動産",matched,corporate_number,89,株式会社宮崎太陽銀行,6.35E+12,,J:金融業，保険業,45:宮崎県,789人,,,60.4,60.4,,8.2,,52.4,57.6,50.2,,,3.4,8.3,35.3,93.3,,,,,,,,,,,,,0:無,0:無,1:有,0:無,0:無,matched,security_code,64,株式会社　宮崎太陽銀行,6350001001824,8560,金融業、保険業,銀行,宮崎県,501～1000人,本則（福証）,35.3,93.3,8.2,60.4,60.4,3.4,8.3,52.4,57.6,50.2,,,,,,2026年06月04日
corporate_number:6350001006212,6.35E+12,美々津観光開発株式会社,E04661,,2026/6/23,2026/3/31,0.11.24,,yes,operating_company_candidate,1127416000,375489000,751926000,0.333,14547000,19610000,11158000,52670000,-18947000,-16525000,148178000,0.0297,,3099000,17.6,,365269000,39,,,,,,証券,0.41,旅行/レジャー,0.31,外食,0.28,証券:0.41 | 旅行/レジャー:0.31 | 外食:0.28,"証券, 観光, レストラン",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:6360001000404,6.36E+12,株式会社琉球銀行,E03602,83990,2026/6/17,2026/3/31,0.11.24,,yes,operating_company_candidate,3.10826E+12,1.45524E+11,2.96273E+12,0.0468,,13060000000,9084000000,21722000000,-29330000000,-2581000000,1.60634E+11,0.0636,39,6395000,15,,80322000000,1407,0.325,1.097,0.658,0.715,0.735,銀行,0.33,リース/信販,0.27,証券,0.22,銀行:0.33 | リース/信販:0.27 | 証券:0.22,"証券, 銀行, リース, クレジット, 預金, 貸出, 不動産, インターネット",matched,corporate_number,75,株式会社琉球銀行,6.36E+12,,J:金融業，保険業,47:沖縄県,1417人,,,,,,4.6,,62.9,68.8,71.5,,,24.8,16.7,96.2,107.7,,,,,,,,,,,,,1:有,0:無,1:有,0:無,0:無,matched,security_code,57,株式会社　琉球銀行,6360001000404,8399,金融業、保険業,銀行,沖縄県,1001～5000人,プライム（東証）,109.8,105.4,,69.5,,32.5,14.3,65.8,71.5,73.5,,在宅勤務・テレワーク,短時間勤務制度,病気・不妊治療休暇,年次有給休暇時間単位取得制度,2026年07月03日
corporate_number:6360001006500,6.36E+12,株式会社 りゅうとう,E00366,,2025/9/30,2025/6/30,0.11.24,,yes,operating_company_candidate,2471486000,1487309000,984177000,0.6018,206150000,208436000,147440000,218499000,50307000,-103389000,276403000,0.0991,,,3,,393630000,3,,,,,,不動産/デベロッパー,0.77,証券,0.14,人材/アウトソーシング,0.1,不動産/デベロッパー:0.77 | 証券:0.14 | 人材/アウトソーシング:0.10,"賃貸, 不動産, 証券, 人材",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:6370301001357,6.3703E+12,株式会社 山大,E02798,74260,2026/6/29,2026/3/31,0.11.24,,yes,operating_company_candidate,4661026000,1865832000,2795193000,0.4,-286880000,-263560000,-280770000,-376975000,-9771000,-74434000,769348000,-0.1396,42.9,3749956,13.3,,4102141000,92,,,,,,建設,0.38,不動産/デベロッパー,0.36,小売,0.12,建設:0.38 | 不動産/デベロッパー:0.36 | 小売:0.12,"不動産, 建設, 建築, 小売, 賃貸, 分譲, 証券, リース",matched,corporate_number,30,株式会社山大,6.3703E+12,,I:卸売業，小売業,04:宮城県,120人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,24,株式会社山大,6370301001357,7426,卸売業、小売業,その他卸売業、小売業,宮城県,101～300人,スタンダード（東証）,,,,75.6,,,,,,,,,,,,2025年12月18日
corporate_number:6370301002917,6.3703E+12,株式会社ホットランドホールディングス,E30898,31960,2026/3/26,2025/12/31,0.11.24,,yes,operating_company_candidate,33457982000,12187813000,21270169000,0.339,1784687000,2056613000,405397000,2522465000,-4931262000,3503531000,4651302000,0.035,35.6,5381138,5,32018000,51040982000,421,0.031,0,0.807,0.834,0.996,外食,0.19,食品/飲料,0.12,旅行/レジャー,0.12,外食:0.19 | 食品/飲料:0.12 | 旅行/レジャー:0.12,"食品, 外食, エンジニアリング, レジャー, 人材, 教育, 店舗, リゾート",matched,corporate_number,43,株式会社ホットランドホールディングス,6.3703E+12,,M:宿泊業，飲食サービス業,13:東京都,2633人,,,,,,23,,77,79.4,99.6,,,,0,,,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,company_name,35,株式会社 ホットランド,6370301002917,,宿泊業、飲食サービス業,ホテル,東京都,1001～5000人,,,,23.0,,,,0.0,77.0,79.4,99.6,,,短時間勤務制度,,,2024年09月19日
corporate_number:6390001011877,6.39E+12,日東ベスト株式会社,E00498,28770,2026/6/24,2026/3/31,0.11.24,,yes,operating_company_candidate,41201283000,17277738000,23923544000,0.406,647291000,686227000,514475000,2735898000,-1348302000,-595076000,4279668000,0.031,44.3,4707248,13.7,581000000,57492655000,1357,0.156,0.9,0.653,0.655,0.936,食品/飲料,0.38,外食,0.09,素材/材料,0.09,食品/飲料:0.38 | 外食:0.09 | 素材/材料:0.09,"食品, 外食, 材料, 証券, 物流, 人材, 加工食品, 細胞",matched,corporate_number,55,日東ベスト株式会社,6.39E+12,,E:製造業,06:山形県,1743人,,,,,,,,62.6,63.5,87.8,,,13.4,,80,100,,,,,,,,,,,,,0:無,0:無,1:有,0:無,0:無,matched,security_code,42,日東ベスト株式会社,6390001011877,2877,食料品、飲料・たばこ・飼料製造業,食料品、飲料・たばこ・飼料製造業,山形県,1001～5000人,スタンダード（東証）,80.0,100.0,,,,13.4,,62.6,63.5,87.8,,,短時間勤務制度,,年次有給休暇時間単位取得制度,2025年08月25日
corporate_number:6400001001397,6.4E+12,株式会社日本ハウスホールディングス,E00197,18730,2025/7/24,2025/4/30,0.11.24,,yes,operating_company_candidate,42396000000,22031000000,20365000000,0.511,2335000000,2057000000,1135000000,3450000000,-709000000,-2143000000,6053000000,0.053,41,5199401,12.8,3000000,34980000000,780,0.012,,0.602,0.7,1.125,旅行/レジャー,0.37,建設,0.28,電力,0.13,旅行/レジャー:0.37 | 建設:0.28 | 電力:0.13,"ホテル, レジャー, 建設, 施工, 建築, リース, 電力, 発電",matched,corporate_number,22,株式会社日本ハウスホールディングス,6.4E+12,,D:建設業,13:東京都,949人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,19,株式会社日本ハウスホールデイングス,6400001001397,1873,建設業,住宅,東京都,501～1000人,,,,,,,,,,,,,,,,,
corporate_number:6410001000448,6.41E+12,株式会社 秋田椿台ゴルフクラブ,E04669,,2026/3/31,2025/12/31,0.11.24,,yes,operating_company_candidate,2350636000,391602000,1959034000,0.166,-119000,4675000,3813000,20286000,-22362000,-16808000,209962000,0.0097,,2948354,11.1,,362060000,15,,,,,,建設,0.52,証券,0.23,リース/信販,0.13,建設:0.52 | 証券:0.23 | リース/信販:0.13,"建設, 証券, リース, レストラン, 預金",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:6430001008290,6.43E+12,ＳＤエンターテイメント株式会社,E04704,46500,2026/6/30,2026/3/31,0.11.24,,yes,operating_company_candidate,4693669000,1802568000,2891100000,0.384,71932000,43930000,215780000,612838000,-183646000,109265000,1025095000,0.127,41.2,4337295,7,,5155104000,89,0.25,1,0.562,0.727,1.274,不動産/デベロッパー,0.37,医療/介護,0.16,ゲーム,0.11,不動産/デベロッパー:0.37 | 医療/介護:0.16 | ゲーム:0.11,"賃貸, 不動産, 介護, ゲーム, 保険, 証券, 人材, 設備工事",matched,corporate_number,46,ＳＤエンターテイメント株式会社,6.43E+12,,N:生活関連サービス業，娯楽業,01:北海道,324人,,,,,,,,67.9,80.2,68.2,,,15.4,,100,100,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,security_code,33,ＳＤエンターテイメント株式会社,6430001008290,4650,生活関連サービス業、娯楽業,生活関連サービス業、娯楽業,北海道,301～500人,スタンダード（東証）,100.0,100.0,,,,15.4,,67.9,80.2,68.2,,,,,,2025年08月28日
corporate_number:6430001013893,6.43E+12,株式会社光ハイツ・ヴェラス,E05670,21370,2026/6/24,2026/3/31,0.11.24,,yes,operating_company_candidate,7049848000,3030475000,4019372000,0.43,-444975000,-309629000,-315697000,-274055000,45522000,-58949000,2535074000,-0.099,58.5,3811639,7.3,,3036308000,259,,,,,,医療/介護,0.36,保険,0.3,不動産/デベロッパー,0.13,医療/介護:0.36 | 保険:0.30 | 不動産/デベロッパー:0.13,"介護, 保険, 賃貸, 福祉, 銀行, 証券, 不動産, 人材",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:6430001021830,6.43E+12,北海道建設業信用保証株式会社,E03841,,2026/6/29,2026/3/31,0.11.24,,yes,operating_company_candidate,37879086000,34373058000,3506027000,0.907,477896000,1133760000,796791000,493802000,-1020731000,-56040000,1471654000,0.0232,,,48,,1842915000,48,,,,,,建設,0.68,証券,0.32,,,建設:0.68 | 証券:0.32,"建設, 証券",matched,corporate_number,51,北海道建設業信用保証株式会社,6.43E+12,,J:金融業，保険業,01:北海道,56人,,16.9,,,1.9,,,,,,20.4,41.8,0,0,,,,,,,,1:有,0:無,1:有,0:無,0:無,1:可,0:否,0:無,0:無,0:無,0:無,0:無,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:6430001025872,6.43E+12,株式会社 メディカルシステムネットワーク,E05274,43500,2026/6/19,2026/3/31,0.11.24,,yes,operating_company_candidate,80100000000,17413000000,62686000000,0.216,3313000000,3193000000,1070000000,-3441000000,-4036000000,6789000000,7743000000,0.064,43,5862000,8,,1.32186E+11,400,0.266,0.455,0.691,0.722,0.496,医薬品,0.16,保険,0.15,医療/介護,0.14,医薬品:0.16 | 保険:0.15 | 医療/介護:0.14,"保険, 医薬品, 物流, 賃貸, 介護, 証券, コンサルティング, 病院",matched,corporate_number,108,株式会社メディカルシステムネットワーク,6.43E+12,,R:サービス業（他に分類されないもの）,01:北海道,527人,,,,72.2,,8.4,,69.1,72.2,49.6,,,26.6,,44.4,150,,,,,,,,,,,,,0:無,0:無,1:有,0:無,0:無,matched,security_code,80,株式会社メディカルシステムネットワーク,6430001025872,4350,サービス業（他に分類されないもの）,サービス業（他に分類されないもの）,北海道,501～1000人,スタンダード（東証）,44.4,150.0,8.4,,72.2,26.6,,69.1,72.2,49.6,,在宅勤務・テレワーク,短時間勤務制度,,,2026年06月18日
corporate_number:6430001028578,6.43E+12,日本グランデ株式会社,E34938,29760,2026/6/25,2026/3/31,0.11.24,,yes,operating_company_candidate,4823516000,2008369000,2815147000,0.416,139135000,111656000,87353000,1103754000,-248000,-516243000,1191566000,0.044,45.9,4838000,8.4,,3655302000,29,0,1,0.702,0.69,0.661,不動産/デベロッパー,0.37,建設,0.16,保険,0.12,不動産/デベロッパー:0.37 | 建設:0.16 | 保険:0.12,"不動産, 保険, 分譲, 賃貸, 建築, ガラス, 施工, 証券",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:6430001032588,6.43E+12,株式会社ＧＳＩ,E38685,55790,2026/6/25,2026/3/31,0.11.24,,yes,operating_company_candidate,3603931000,2435838000,1168092000,0.676,493203000,526032000,376787000,462832000,-273601000,5689000,1597882000,0.163,32,4307495,5.22,,4629119000,516,0,0.929,0.882,0.892,0.351,SI/ITサービス,0.22,人材/アウトソーシング,0.15,ソフトウェア,0.12,SI/ITサービス:0.22 | 人材/アウトソーシング:0.15 | ソフトウェア:0.12,"システム開発, 人材, ソフトウェア, 派遣, 受託開発, SaaS, リース, 保険",matched,corporate_number,74,株式会社ＧＳＩ,6.43E+12,,G:情報通信業,01:北海道,468人,,,,,,,,88.2,89.2,35.1,,,,,92,100,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,company_name,43,株式会社GSI,6430001032588,,情報通信業,情報通信業,北海道,301～500人,,92.0,100.0,,,,,,88.2,89.2,35.1,,,,,,2026年06月12日
corporate_number:6430001034659,6.43E+12,エコモット株式会社,E33237,39870,2025/11/27,2025/8/31,0.11.24,,yes,operating_company_candidate,2558989000,784207000,1774782000,0.306,49621000,53922000,-35039000,-295641000,-247714000,293930000,333366000,0.013,38.4,4960000,5.5,2590000,3003786000,76,0.105,1,0.654,0.727,1.916,計測/制御,0.11,建設,0.11,電力,0.1,計測/制御:0.11 | 建設:0.11 | 電力:0.10,"クラウド, 建設, 計測, 発電, EPC, 自動車, カメラ, センサ",matched,corporate_number,43,エコモット株式会社,6.43E+12,,G:情報通信業,01:北海道,90人,,,,,,,,,,,,,,,50,100,,,,,,,,,,,,,0:無,0:無,1:有,0:無,0:無,matched,security_code,28,エコモット株式会社,6430001034659,3987,情報通信業,情報通信業,北海道,10～100人,,50.0,100.0,,,,,,,,,,,,,,2024年04月18日
corporate_number:6430001072213,6.43E+12,サツドラホールディングス株式会社,E32381,35440,2025/8/7,2025/5/15,0.11.24,,yes,operating_company_candidate,46194000000,9922000000,36272000000,0.212,1675000000,1648000000,767000000,2598000000,-1669000000,-935000000,2669000000,0.081,,,,,1.00174E+11,1095,,,,,,小売,0.25,広告/マーケティング,0.21,証券,0.17,小売:0.25 | 広告/マーケティング:0.21 | 証券:0.17,"マーケティング, ドラッグストア, 証券, 不動産, 保険, 医薬品, アプリケーション, 店舗",not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_found,,0,,,,,,,,,,,,,,,,,,,,,,,,
corporate_number:6430001072262,6.43E+12,株式会社キットアライブ,E37950,50390,2026/3/26,2025/12/31,0.11.24,,yes,operating_company_candidate,1107914000,944347000,163566000,0.85,160394000,169684000,124019000,107406000,-5534000,53484000,875609000,0.141,32.7,5280124,4.3,,924633000,63,0.167,,0.811,0.838,0.32,クラウド/SaaS,0.23,SI/ITサービス,0.18,ソフトウェア,0.13,クラウド/SaaS:0.23 | SI/ITサービス:0.18 | ソフトウェア:0.13,"クラウド, システム開発, 人材, SaaS, ソフトウェア, インターネット, マーケティング, アプリケーション",matched,corporate_number,28,株式会社キットアライブ,6.43E+12,,G:情報通信業,01:北海道,25人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:無,0:無,0:無,0:無,0:無,matched,company_name,17,株式会社キットアライブ,6430001072262,,情報通信業,情報通信業,北海道,10～100人,,,,,,,,,,,,,,,,,
